"Idõszak";"Terület";"Halálos közúti közlekedési baleset (eset)";"Súlyos sérüléses közúti közlekedési baleset (eset)";"Könnyû sérüléses közúti közlekedési baleset (eset)";"Összes személyi sérüléssel járó közúti közlekedési baleset (eset)";"Lakott területen történt összes közúti közlekedési baleset (eset)";"Lakott területen kívül történt összes közúti közlekedési baleset (eset)";"Az ittasan okozott balesetek száma (eset)";"Jármûvek okozta összes baleset száma (eset)";"Motorkerékpár és segédmotoros kerékpár által okozott balesetek száma (eset)";"Személygépkocsi által okozott balesetek száma (eset)";"Tehergépkocsi által okozott balesetek száma (eset)";"Kerékpár által okozott balesetek száma (eset)";"Gyalogos okozta balesetek száma (eset)";"Autóbusz által okozott balesetek száma (eset)";"A jármûvezetõk által ittasan okozott balesetek száma (eset)";"Közúti közlekedési baleset során meghalt személy (fõ)";"Közúti közlekedési baleset során súlyosan sérült személy (fõ)";"Közúti közlekedési baleset során könnyen sérült személy (fõ)";"Közúti közlekedési baleset során meghalt, megsérült személy összesen (fõ)";"Közúti közlekedési baleset során meghalt  6 év alatti személy (fõ)";"Közúti közlekedési baleset során meghalt  6 - 14 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 15 - 17 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 18 - 20 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 21 - 40 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 41 - 64 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 65 éves és idõsebb, és ismeretlen korú személy (fõ)";"Borvidékek, 2019";"Agglomeráción belüli települések besorolása, 2003";"Statisztikai nagyrégió";"Agglomeráció típusa, 2003";"Járások";"Agglomerációk, 2003";"Megyék - általános területi beosztás";"Települések jogállása - összevont verzió, 1994";"Kedvezményezett települések  kódjának nómenklatúrája";"Borrégiók, 2019";"Kedvezményezett járások kódjának nómenklatúrája";"Turisztikai régiók";"Települések";"Tervezési statisztikai régiók";"Világörökségi helyszín védõövezete";"Szabad vállalkozási zónák";"Az EU NUTS rendszere 2016";"Területfejlesztési szempontból kiemelt térségek";"Települések megyeszékhely jellege, 1991";"Járási székhely";"Települések lakónépesség-nagyságkategóriái";"Települések jogállása - bõvített verzió, 2005";"Nemzeti parkok";
"";"Jászkisér";" ";"2";"2";"4";"2";"2";" ";"4";" ";"3";" ";"1";" ";" ";" ";" ";"2";"3";"5";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"161 - Jászapáti járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2279 - Jászkisér";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászladány";" ";"4";"8";"12";"5";"7";"1";"12";" ";"8";"1";"1";" ";" ";"1,0";" ";"4";"13";"17";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"161 - Jászapáti járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2111 - Jászladány";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"41 - Nagyközség";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászszentandrás";" ";" ";"1";"1";"1";" ";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";" ";"1";"1";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"161 - Jászapáti járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"3 - Komplex programmal fejlesztendõ járások";"03 - Észak-Alföldi Régió";"1351 - Jászszentandrás";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászberényi járás";"3";"26";"28";"57";"31";"26";"3";"53";"7";"33";"2";"8";"3";"1,0";"3,0";"4";"30";"40";"74";" ";" ";" ";" ";" ";" ";" ";
"";"Jászágó";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2292 - Jászágó";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászárokszállás";" ";"4";"3";"7";"5";"2";"1";"6";"1";"3";" ";"2";" ";" ";"1,0";" ";"4";"3";"7";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2210 - Jászárokszállás";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászberény";"1";"19";"17";"37";"17";"20";"1";"34";"3";"22";"2";"5";"3";"1,0";"1,0";"2";"23";"23";"48";" ";" ";" ";" ";" ";" ";" ";"1600 - Kunsági borvidék";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"1820 - Jászberény";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"07 - 20000 - 49999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászboldogháza";" ";" ";"2";"2";"1";"1";" ";"2";"1";"1";" ";" ";" ";" ";" ";" ";" ";"2";"2";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"1581 - Jászboldogháza";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászfelsõszentgyörgy";" ";" ";"1";"1";"1";" ";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";" ";"1";"1";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2357 - Jászfelsõszentgyörgy";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Jászfényszaru";"1";"3";"2";"6";"3";"3";" ";"6";"1";"4";" ";"1";" ";" ";" ";"1";"3";"6";"10";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"162 - Jászberényi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"03 - Észak-Alföldi Régió";"2333 - Jászfényszaru";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
